CCTV1央视,rtp://232.0.0.27:8808
CCTV2财经,rtp://232.0.0.132:9144
CCTV3综艺,rtp://232.0.0.198:9214
CCTV4国际,rtp://232.0.0.148:9142
CCTV5体育,rtp://232.0.0.196:9210
CCTV6电影,rtp://232.0.0.194:9206
CCTV7国防军事,rtp://232.0.0.133:9146
CCTV8电视剧,rtp://232.0.0.28:8710
CCTV9纪录,rtp://232.0.0.134:9148
CCTV10科教,rtp://232.0.0.135:9150
CCTV11戏曲,rtp://232.0.0.168:9340
CCTV12社会与法,rtp://232.0.0.136:9152
CCTV13新闻,rtp://232.0.0.146:9112
CCTV14少儿,rtp://232.0.0.137:9154
CCTV15音乐,rtp://232.0.0.169:9342
CCTV16奥林匹克,rtp://232.0.0.36:8694
CCTV17农业农村,rtp://232.0.0.63:8686
CCTV5体育赛事,rtp://232.0.0.93:8750
CGTN,rtp://232.0.0.9:8832
CGTN英语新闻,rtp://232.0.0.201:9220
CGTN纪录国际版,rtp://232.0.0.202:9222
CGTN俄语国际,rtp://232.0.0.43:8660
CGTN西班牙语国际,rtp://232.0.0.191:9200
CGTN阿拉伯语国际,rtp://232.0.0.8:8664
CGTN法语国际,rtp://232.0.0.176:9170
辽宁卫视,rtp://232.0.0.144:9108
辽宁都市,rtp://232.0.0.42:8856
辽宁影视剧,rtp://232.0.0.97:8534
辽宁体育,rtp://232.0.0.66:8820
辽宁生活,rtp://232.0.0.212:9242
辽宁教育青少,rtp://232.0.0.230:9356
辽宁北方,rtp://232.0.0.211:9240
辽宁宜佳购物,rtp://232.0.0.21:8838
辽宁公共,rtp://232.0.0.156:9322
辽宁经济,rtp://232.0.0.155:9320
移动电视,rtp://232.0.0.167:9338
家有购物,rtp://232.0.0.109:8702
优购物,rtp://232.0.0.54:8648
CCTV中视购物,rtp://232.0.0.231:9358
睛彩竞技,rtp://232.0.0.232:9360
睛彩篮球,rtp://232.0.0.233:9362
睛彩羽毛球,rtp://232.0.0.234:9364
睛彩广场舞,rtp://232.0.0.100:8684
央广购物,rtp://232.0.0.229:9284
北京卫视,rtp://232.0.0.117:8860
北京卫视4K,rtp://232.0.0.113:8602
天津卫视,rtp://232.0.0.131:9106
上海东方卫视,rtp://232.0.0.128:9100
浙江卫视,rtp://232.0.0.129:9102
江苏卫视,rtp://232.0.0.116:8862
安徽卫视,rtp://232.0.0.138:9156
湖南卫视,rtp://232.0.0.115:8864
贵州卫视,rtp://232.0.0.171:9346
山东卫视,rtp://232.0.0.161:9122
山西卫视,rtp://232.0.0.86:8558
聚鲨环球精选,rtp://232.0.0.193:9204
广东卫视,rtp://232.0.0.160:9120
广西卫视,rtp://232.0.0.127:9300
湖北卫视,rtp://232.0.0.130:9104
江西卫视,rtp://232.0.0.112:8606
河北卫视,rtp://232.0.0.64:8608
河南卫视,rtp://232.0.0.48:8666
四川卫视,rtp://232.0.0.208:9234
重庆卫视,rtp://232.0.0.209:9236
东南卫视,rtp://232.0.0.174:9352
海南卫视,rtp://232.0.0.195:9208
青海卫视,rtp://232.0.0.101:8588
云南卫视,rtp://232.0.0.24:8604
陕西卫视,rtp://232.0.0.35:8590
内蒙古卫视,rtp://232.0.0.111:8718
宁夏卫视,rtp://232.0.0.34:8644
吉林卫视,rtp://232.0.0.170:9344
新疆卫视,rtp://232.0.0.18:8722
甘肃卫视,rtp://232.0.0.50:8642
西藏卫视,rtp://232.0.0.114:8844
黑龙江卫视,rtp://232.0.0.95:8866
深圳卫视,rtp://232.0.0.110:8868
厦门卫视,rtp://232.0.0.183:9184
中国教育1,rtp://232.0.0.192:9202
CETV2,rtp://232.0.0.98:8612
CETV4,rtp://232.0.0.175:9354
山东教育卫视,rtp://232.0.0.200:9218
兵团卫视,rtp://232.0.0.67:8640
延边卫视,rtp://232.0.0.184:9186
金鹰卡通,rtp://232.0.0.181:9180
炫动卡通,rtp://232.0.0.103:8636
优漫卡通,rtp://232.0.0.182:9182
嘉佳卡通,rtp://232.0.0.180:9178
新动漫,rtp://232.0.0.65:8634
卡酷少儿,rtp://232.0.0.199:9216
金鹰纪实,rtp://232.0.0.186:9190
